SECURITY_ID,SYMBOL
509480,BSE:BERGEPAINT-A
509488,BSE:GRAPHITE-A
509496,BSE:CEMPRO-A
509550,GAMMON INDIA
509557,BSE:GARFIBRES-A
509567,BSE:GOACARBON-B
509627,HIND.DORR   
509631,BSE:HEG-A
509635,BSE:HINDCOMPOS-B
509675,BSE:BIRLANU-B
509692,BSE:INDIANCARD-B
509715,BSE:JAYSREETEA-B
509820,BSE:HUHTAMAKI-B
509874,BSE:SHALPAINTS-B
509930,BSE:SUPREMEIND-A
509966,BSE:VSTIND-B
511034,BSE:JINDRILL-B
511072,DEWAN H.FIN.
511108,BSE:SHIVATEX-B
511196,BSE:CANFINHOME-A
511208,BSE:IVC-B
511218,BSE:SHRIRAMFIN-A
511243,BSE:CHOLAFIN-A
511288,GRUH FINANCE
511333,BSE:VLSFINANCE-B
511389,VIDEOCON IND
511431,BSE:VAKRANGEE-B
511473,BSE:INDBANK-B
511505,BSE:CAPTRUST-T
511611,BSE:DCMFINSERV-B
511630,BSE:SAMBHAAV-B
511676,BSE:GICHSGFIN-B
511726,BSE:VIPULLTD-T
511766,BSE:MUTHOOTCAP-B
512070,BSE:UPL-A
512093,BSE:CRANESSOFT-Z
512131,BSE:SIGIND-B
512161,BSE:SECURKLOUD-B
512179,BSE:SUNTECK-A
512237,BSE:JAICORPLTD-B
512289,SHIRPUR GOLD
512299,STERL.BIOTEC
512519,BSE:DONEAR-B
512529,BSE:VIYASH-B
512531,BSE:STCINDIA-B
512559,BSE:KOHINOOR-B
512573,BSE:AVANTIFEED-A
512579,GUJ.NRE COKE
512587,BSE:ZODJRDMKJ-X
512599,BSE:ADANIENT-A
512608,BSE:BHANDARI-B
512626,BSE:ORBTEXP-B
513010,TATA SPONGE 
513023,BSE:NAVA-A
513108,BSE:GANDHITUBE-B
513121,BSE:ORICONENT-B
513216,UTTAM GALVA 
513228,BSE:PENIND-B
513250,BSE:JYOTISTRUC-A
513262,BSE:SSWL-B
513269,BSE:MANINDS-B
513335,METALFORGE  
513349,BSE:AJMERA-B
513375,BSE:CARBORUNIV-A
513377,BSE:MMTC-A
513414,SMPL        
513434,TATA METALIK
513436,BSE:SHAHALLOYS-B
513446,MONNETISPA  
513519,BSE:PITTIENG-B
513554,BSE:MAHASTEEL-B
513599,BSE:HINDCOPPER-A
513605,SRIPIPES    
513683,BSE:NLCINDIA-A
513691,JMT AUTO LTD
513729,BSE:AROGRANITE-B
514034,JBF IND.LTD 
514043,BSE:HIMATSEIDE-B
514045,BSE:BSL-B
514142,BSE:TTL-T
514162,BSE:WELSPUNLIV-A
514167,BSE:GANECOS-A
514175,BSE:VARDMNPOLY-T
514211,BSE:SUMEETINDS-B
514234,BSE:SANGAMIND-B
514274,BSE:VGL-B
514286,BSE:ASHIMASYN-B
514300,BSE:PIONEEREMB-B
514326,BSE:PATSPINLTD-X
515030,BSE:ASAHIINDIA-A
515037,BSE:MURUDCERA-B
515055,BSE:ANANTRAJ-A
515093,BSE:MADHAV-B
515145,HIND.NAT.GLS
516007,MANGALAM TIM
516016,BSE:SHREYANIND-B
516022,BSE:STARPAPER-B
516064,BSE:ARROWGREEN-B
516072,BSE:VISHNU-B
516092,BSE:3PLAND-B
517015,BSE:VINDHYATEL-B
517041,BSE:ADOR-B
517059,BSE:SALZERELEC-B
517080,HIGHGROUND  
517140,MOSER BEAR  
517146,BSE:USHAMART-A
517164,ZENITH COMP.
517168,BSE:SUBROS-B
517174,BSE:HONAUT-A
517206,BSE:LUMAXIND-B
517214,BSE:DIGISPICE-B
517224,SUJANA INDUS
517271,BSE:HBLENGINE-A
517296,PHOENIXLL   
517300,BSE:GIPCL-B
517330,CMI LTD.    
517334,BSE:MOTHERSON-A
517344,BSE:MINDTECK-B
517354,BSE:HAVELLS-A
517380,BSE:IGARASHI-B
517385,BSE:SYMPHONY-B
517411,BSE:SHYAMTEL-B
517421,BSE:BUTTERFLY-B
517447,BSE:RSSOFTWARE-B
517498,BSE:WEBELSOLAR-A
517506,BSE:TTKPRESTIG-A
517518,LLOYD ELECT.
517530,BSE:SURANAT&P-B
517536,BSE:ONWARDTEC-B
517544,BSE:CENTUM-B
517556,BSE:PVP-B
517562,BSE:TRIGYN-B
517569,BSE:KEI-A
517571,IMPPOWERS   
518029,GUJ.SIDH.CEM
519091,BSE:TASTYBITE-B
519105,BSE:AVTNPL-B
519136,BSE:NAHARINDUS-B
519156,BSE:VADILALIND-B
519183,BSE:ADFFOODS-B
519224,BSE:WILLAMAGOR-B
519248,JVL AGRO    
519260,BSE:SANWARIA-Z
519373,VIMAL OIL FD
519494,BSE:NKIND-B
519552,BSE:HERITGFOOD-A
519570,LAKSHMI OVER
519588,DFM FOODS   
519600,BSE:CCL-A
519602,BSE:KELLTONTEC-B
520008,BSE:RICOAUTO-B
520021,BSE:OMAXAUTO-B
520043,BSE:MUNJALSHOW-B
520051,BSE:JAMNAAUTO-B
520056,BSE:TVSHLTD-A
520057,BSE:JTEKTINDIA-B
520059,BSE:MUNJALAU-B
520066,BSE:JAYBARMARU-B
520077,AMTEK AUTO  
520086,BSE:SICALLOG-T
520111,BSE:RATNAMANI-A
520113,BSE:VESUVIUS-A
520119,BSE:ASAL-B
520151,BSE:TRANSWORLD-B
521016,BSE:ICIL-A
521018,BSE:MARALOVER-B
521030,NAKODA      
521064,BSE:TRIDENT-A
